,state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,lat,long
20,FL,147,415,396-5800,no,no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False,34.02852711790026,-84.59359054119024
21,CO,77,408,393-7984,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True,33.89116323346393,-84.72838863977746
22,AZ,130,415,358-1958,no,no,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,False,34.029253979913676,-84.63391134878088
23,SC,111,415,350-2565,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,34.03410040788451,-84.56906843201358
24,VA,132,510,343-4696,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False,34.0559808158297,-84.5974622863405
25,NE,174,415,331-3698,no,no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False,34.0408374186206,-84.54691153425077
26,WY,57,408,357-3817,no,yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False,34.042178025496476,-84.62281890082092
27,MT,54,408,418-6412,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False,34.067394492164055,-84.60189896440666
28,MO,20,415,353-2630,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False,34.027140139473126,-84.58141851935925
29,HI,49,510,410-7789,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,34.048422538816816,-84.55093007669376
30,IL,142,415,416-8428,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False,34.04255742994573,-84.59499804526324
31,NH,75,510,370-3359,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False,34.033117519042186,-84.60967322184912
32,LA,172,408,383-1121,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False,34.04385972436307,-84.58988179766088
33,AZ,12,408,360-1596,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,33.87794585869083,-84.75927638867881
34,OK,57,408,395-2854,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False,34.03413481892627,-84.59356236076599
35,GA,72,415,362-1407,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False,34.046013484624524,-84.59638920521105
36,AK,36,408,341-9764,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,34.042871808862635,-84.61023166011822
37,MA,78,415,353-3305,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False,34.040186000381915,-84.57316255064315
38,AK,136,415,402-1381,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False,34.03779335343548,-84.56798543090666
39,NJ,149,408,332-9891,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False,34.022491678559405,-84.56343317208153
40,GA,98,408,372-9976,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False,34.053692082858326,-84.56427369629179
41,MD,135,408,383-6029,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True,33.893107533441,-84.71638054972597
42,AR,34,510,353-7289,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False,34.04287239435899,-84.54913991863057
43,ID,160,415,390-7274,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False,34.04908024572944,-84.61580813880154
44,WI,64,510,352-1237,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False,34.05341178954669,-84.63528779916956
45,OR,59,408,353-3061,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False,34.051626857222374,-84.58276986317033
46,MI,65,415,363-5450,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,34.051201016289454,-84.55537482717307
47,DE,142,408,364-1995,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False,34.041977349599215,-84.59660673082541
48,ID,119,415,398-1294,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,33.89023419253613,-84.78077508223046
49,WY,97,415,405-7146,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False,34.04081247551627,-84.59720751917173
50,IA,52,408,413-4957,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False,34.034769910151276,-84.59111710576323
51,IN,60,408,420-5645,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False,34.069547867432235,-84.60477814122069
52,VA,10,408,349-4396,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,34.04720973742786,-84.597272543812
53,UT,96,415,404-3211,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False,34.03015458511505,-84.59911351944078
54,WY,87,415,353-3759,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,33.8714546467791,-84.76673882112007
55,IN,81,408,363-5947,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False,34.0474598963844,-84.59466768707804
56,CO,141,415,340-5121,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False,34.03173116257549,-84.58249491085529
57,CO,121,408,370-7574,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True,33.895534165837155,-84.73423696508898
58,WI,68,415,403-9733,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,34.03094482636241,-84.60549884478137
59,OK,125,408,355-7251,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False,34.0299249141462,-84.60795572068186
60,ID,174,408,359-5893,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False,34.07123553446651,-84.55616252556366
61,CA,116,415,405-3371,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False,34.05793388607932,-84.59224940752188
62,MN,74,510,344-5117,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,34.036182705424714,-84.54743009172566
63,SD,149,408,332-8160,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False,34.061489073146994,-84.58819064398288
64,NC,38,408,359-4081,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False,34.052160219821815,-84.55954133678166
65,WA,40,415,352-8305,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False,34.02618409095068,-84.58847218984896
66,WY,43,415,329-9847,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False,34.05254791279064,-84.58471167204287
67,MN,113,408,365-9011,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False,34.06040493773142,-84.57799168417712
68,UT,126,408,338-9472,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False,34.05289817311854,-84.6333245285988
69,TX,150,510,374-8042,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,33.88232240520304,-84.73925891369272
70,NJ,138,408,359-1231,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False,34.02244040504177,-84.59457651724678
71,MN,162,510,413-7170,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False,34.03590156158262,-84.60406943755538
72,NM,147,510,415-2935,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False,34.012821408631076,-84.55900119893563
73,NV,90,415,399-4246,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False,34.03911591554722,-84.5399529481733
74,HI,85,415,362-5889,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,34.0353801794731,-84.55285678516515
75,MN,50,415,350-8921,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False,34.03124167683626,-84.59496121757682
76,DC,82,415,374-5353,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,33.88601118743091,-84.71448514466007
77,NY,144,408,360-1171,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True,33.87490727061675,-84.72892166693016
78,MN,46,415,355-8887,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,34.03964982338693,-84.54842007828998
79,MD,70,408,333-1967,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False,34.04492068883984,-84.61369253196585
80,WV,144,415,354-4577,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False,34.04306128056158,-84.5685043046376
81,OR,116,415,331-7425,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False,34.025346067987904,-84.55027621744824
82,CO,55,408,419-2637,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False,34.07272923869146,-84.57429380394264
83,GA,70,415,411-1530,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,34.04317299111926,-84.58318811945074
84,TX,106,510,395-3026,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,33.863142362845544,-84.72061269560899
85,VT,128,510,388-6441,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,34.03688884882864,-84.59915090637406
86,IN,94,408,402-1251,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,33.887505578915494,-84.76031536869576
87,WV,111,510,412-9997,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,34.041688074568796,-84.62568861061041
88,KY,74,415,346-7302,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,34.0287579868625,-84.5698579660691
89,NJ,128,415,358-9095,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,33.90582509738553,-84.73425748680421
90,DC,82,510,400-9770,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,34.037062396406085,-84.61085437142597
91,LA,155,415,334-1275,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,33.89122702656798,-84.75600096856235
92,AR,80,415,340-4953,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,34.052209590387584,-84.60711856568695
93,ME,78,415,400-9510,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,34.03306264960504,-84.58627670527498
94,AZ,90,415,387-6103,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,34.04155853498079,-84.5801768236642
95,AK,104,408,366-4467,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,34.05572997035018,-84.57113810008634
96,MT,73,415,370-3450,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,34.05941634688726,-84.58170074202819
97,AZ,99,415,327-3954,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,34.046012408286124,-84.58222860792057
98,MS,120,408,355-6291,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,33.87382256998166,-84.76874758184185
99,ID,77,415,362-9748,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,33.907245697704084,-84.73733577591264
100,IA,98,510,379-6506,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,34.0469910094183,-84.58875224226026
101,MA,108,415,347-7741,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,34.052760552336416,-84.58848789340118
102,VT,135,415,354-3783,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,34.04580443686975,-84.6241731190129
103,KY,95,408,401-7594,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,34.04407852803775,-84.55615217842498
104,IN,122,408,397-4976,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,34.02406940270038,-84.60884306152884
105,AZ,95,408,334-2577,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,34.02477872316493,-84.58215737001741
106,MI,36,510,400-3637,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,34.047254500610194,-84.63760771717553
107,NM,93,510,383-4361,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,34.03442169363486,-84.60033245415387
108,CO,141,415,371-4306,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,34.05442769463333,-84.60878841660754
109,UT,157,408,403-4298,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,34.04812783354021,-84.61511104384992
110,MI,120,408,409-3786,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False,34.03220918758811,-84.57640140616473
111,MA,103,415,337-4697,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False,34.0332508517639,-84.5793563347053
112,AL,98,408,383-1509,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False,34.02842830143408,-84.58441018838732
113,DE,125,408,359-9794,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False,34.02299383626465,-84.59932278865385
114,AZ,63,415,407-7035,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,34.026959660206586,-84.57547707912677
115,ME,36,510,363-1069,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,33.88189319125173,-84.74533108042195
116,NJ,64,510,391-4652,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False,34.04728612385011,-84.62251762236862
117,NV,74,415,355-6837,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,33.899035548543374,-84.76046218859946
118,MO,112,510,409-1244,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False,34.03991510566169,-84.57059438771387
119,ID,97,408,328-3266,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,34.051373651651055,-84.57169917896437
120,NE,46,408,352-7072,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,False,34.059389276860415,-84.59777061240288
121,TX,41,408,370-7550,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False,34.04741357797262,-84.61077000998783
122,MD,121,510,369-5526,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False,34.062383728253316,-84.5889912748715
123,MS,193,415,329-4391,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False,34.053719369972825,-84.58791234697244
124,NV,130,510,408-4195,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,False,34.02864534954464,-84.6054759833711
125,AZ,85,408,354-4445,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,False,34.05082296826942,-84.58794530154192
126,MS,162,415,335-4858,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True,33.89572360816675,-84.73934940032807
127,MS,61,510,414-8718,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True,33.88265002820241,-84.75885104233089
128,TX,92,408,409-5939,no,no,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False,34.03248223604491,-84.5508819898814
129,NE,131,408,331-4902,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False,34.067904535763816,-84.58928036838077
130,NE,90,415,353-6870,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,False,34.038798442590284,-84.57130084659195
131,CA,75,408,355-2909,no,no,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,34.03968446487937,-84.57001050521542
132,NJ,78,415,390-6101,no,no,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False,34.06510379551418,-84.57418545071896
133,TX,82,408,400-3446,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False,34.042421057890884,-84.62325712942777
134,AR,163,408,411-5859,no,no,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False,34.04969669908848,-84.60617345344949
135,AL,91,510,387-2919,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False,34.04935696800294,-84.57378508516436
136,NY,75,415,374-8525,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False,34.072795332702064,-84.58337926873169
137,FL,91,510,379-5592,no,no,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,False,34.058868502388336,-84.54709897687722
138,AK,127,510,345-8237,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,False,34.050520845896116,-84.58684852558875
139,NV,113,415,422-6690,no,yes,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False,34.063393933349204,-84.60042607766225
140,DE,110,510,346-2359,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,False,34.02486099310332,-84.59881727937568
141,MD,120,415,374-3534,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False,34.038781595608185,-84.59926248212192
142,MI,157,415,381-4756,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False,34.05614063012254,-84.6125877196044
143,VT,103,510,390-2805,no,no,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False,34.06414095785654,-84.58939553486847
144,VT,117,408,390-2390,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True,33.87885019006317,-84.74619495465156
145,MI,140,415,419-9097,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False,34.02743900414327,-84.59263621848496
146,WA,127,408,386-7281,no,no,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,34.06075057307679,-84.58802534595567
147,UT,83,408,380-3561,yes,no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False,34.04381168907564,-84.56102956253456
148,LA,121,408,390-8760,no,no,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,34.03293231542078,-84.61255270661188
149,RI,145,408,366-6730,no,yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,False,34.036864444161694,-84.62420247043818
150,IA,113,408,395-5285,no,no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False,34.03555784685518,-84.58772853559621
151,NE,117,415,354-3436,no,no,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,34.05167862572551,-84.58601321346198
152,OH,65,408,336-7600,no,no,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,34.06176549014151,-84.57733786601345
153,RI,56,415,383-6293,no,no,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,False,34.0537744236113,-84.5990434029456
154,OK,96,415,362-4596,no,no,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,False,34.03047325174354,-84.54631976472446
155,LA,151,408,401-3926,no,no,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,False,34.03483156995903,-84.60428393375035
156,OH,83,415,370-9116,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True,33.88323062008641,-84.77136810787484
157,VA,139,510,328-6289,no,yes,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,False,34.04883224388069,-84.5424148245571
158,MO,6,510,350-9994,no,no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,34.05793443376381,-84.57079849480816
159,FL,115,510,351-4616,no,yes,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,False,34.054605191278604,-84.60688522108897
160,SC,87,415,360-5779,no,no,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,False,34.03794894649219,-84.55821788150067
161,VA,141,415,417-4885,no,no,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,False,34.049905651311015,-84.56577525926905
162,IA,141,510,406-4710,no,yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,False,34.05272042536652,-84.58607633369915
163,MI,62,415,409-8743,no,no,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,False,34.02716842157758,-84.59904474571351
164,OK,146,415,335-4584,no,no,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,False,34.04366011116507,-84.57539381764893
165,DE,92,415,361-9845,no,yes,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,False,34.02572839098534,-84.58623208313942
166,GA,185,510,366-5699,no,yes,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,False,34.04976951390863,-84.59345270350056
167,DC,148,415,329-9364,no,no,0,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,False,34.04275979010639,-84.57487872095294
168,AZ,94,408,390-7434,no,yes,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,False,34.03148058037342,-84.61448806457393
